name,confidence,un_weight,basemodel,learn,rampup,randaugment,frozen,alpha,super_loss,un_super_loss,SRC_student,SRC_teacher,TGT_student,TGT_teacher,student,teacher,mask,im
Meanteacher_thres_0.85,0.85,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0058,0.00045,91.11,88.7,69.94,71.86,80.53,80.28,0.649,0.991
Meanteacher_thres_0.85_01,0.85,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0058,0.00048,90.62,86.38,63.34,66.57,76.98,76.47,0.588,0.99
Meanteacher_thres_0.85_02,0.85,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0054,0.00043,90.64,88.6,68.71,71.38,79.68,79.99,0.652,0.991
Meanteacher_thres_0.25,0.25,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0069,0.00034,73.29,30.79,26.48,20.45,49.89,25.62,0.497,0.914
Meanteacher_thres_0.5,0.5,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0052,0.00045,90.86,88.88,60.68,64.15,75.77,76.52,0.588,0.996
Meanteacher_thres_0.75,0.75,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0051,0.00045,90.88,88.76,69.62,70.45,80.25,79.6,0.637,0.993
Meanteacher_thres_0.75_01,0.75,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0057,0.00046,90.88,87.58,69.35,71.13,80.11,79.35,0.645,0.993
Meanteacher_thres_0.75_02,0.75,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0053,0.00044,91.34,89.82,66.22,69.19,78.78,79.5,0.622,0.993
Meanteacher_thres_0.8,0.8,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0055,0.00045,91.22,89.47,69.41,71.41,80.32,80.44,0.655,0.991
Meanteacher_thres_0.8_01,0.8,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0052,0.00042,90.18,87.84,69.14,71.71,79.66,79.78,0.661,0.992
Meanteacher_thres_0.8_02,0.8,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0052,0.00043,91.65,89.07,66.6,68.63,79.12,78.85,0.608,0.992
Meanteacher_thres_0.9,0.9,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0074,0.00062,90.36,87.64,68.25,70.15,79.31,78.9,0.624,0.987
Meanteacher_thres_0.9_01,0.9,10.0,1.0,1,0.0,0.0,0.0,0.99,0.005,0.00038,90.98,88.7,66.84,70.0,78.91,79.35,0.64,0.986
Meanteacher_thres_0.9_02,0.9,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0046,0.00036,90.68,86.95,70.31,71.59,80.5,79.27,0.647,0.985
Meanteacher_thres_0.95,0.95,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0045,0.00038,89.12,85.39,69.45,72.28,79.28,78.84,0.667,0.976
Meanteacher_thres_0.95_01,0.95,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0036,0.00029,88.54,82.7,67.56,69.23,78.05,75.96,0.604,0.981
Meanteacher_thres_0.95_02,0.95,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0045,0.00035,90.15,86.1,70.35,72.16,80.25,79.13,0.659,0.979
Meanteacher_thres_0.97,0.97,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0044,0.00034,89.9,86.8,68.15,71.12,79.03,78.96,0.653,0.968
Meanteacher_thres_0.97_01,0.97,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0047,0.00035,90.13,85.13,68.03,69.69,79.08,77.41,0.638,0.97
Meanteacher_thres_0.97_02,0.97,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0044,0.00038,90.68,85.92,65.97,68.11,78.32,77.02,0.621,0.968
Meanteacher_thres_0.99,0.99,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0043,0.0003,89.7,82.24,64.07,64.7,76.88,73.47,0.615,0.942
Meanteacher_thres_0.99_01,0.99,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0043,0.00034,89.34,83.15,69.89,72.06,79.62,77.6,0.638,0.938
Meanteacher0.9997,0.85,3.0,0.0,1,0.0,0.0,0.0,0.9997,0.0029,0.00082,91.2,90.57,63.08,64.53,77.14,77.55,0.6,0.98
Meanteacher_0.85_10_0.999_33layer,0.85,10.0,1.0,1,0.0,1.0,33.0,0.9990000000000001,0.0609,0.0029,84.76,64.76,71.12,71.92,77.94,68.34,0.679,0.887
Meanteacher_0.85_10_0.99_33layer,0.85,10.0,1.0,1,0.0,1.0,33.0,0.99,0.0559,0.00271,86.78,74.41,70.51,70.38,78.65,72.4,0.691,0.896
Meanteacher_0.85_3_0.99_33_rand,0.85,3.0,1.0,1,0.0,1.0,33.0,0.99,0.126,0.0085,88.24,88.28,61.24,66.83,74.74,77.56,0.704,0.721
Meanteacher_LRF108,0.85,10.0,1.0,1,0.0,0.0,108.0,0.99,0.0064,0.0005,90.9,88.1,67.17,69.41,79.04,78.76,0.611,0.99
Meanteacher_LRF33,0.85,10.0,1.0,1,0.0,0.0,33.0,0.99,0.0058,0.00048,90.4,88.0,71.46,73.55,80.93,80.78,0.642,0.989
Meanteacher_LRF33_01,0.85,10.0,1.0,1,0.0,0.0,33.0,0.99,0.0055,0.00044,90.72,87.82,70.5,72.45,80.61,80.13,0.643,0.99
Meanteacher_SGD,0.85,10.0,1.0,SGD,0.0,0.0,33.0,0.99,0.0402,0.00289,89.12,88.22,56.42,60.43,72.77,74.32,0.588,0.868
Meanteacher_alpha0.9,0.85,8.0,1.0,1,0.0,0.0,33.0,0.9,0.0557,0.00314,89.24,88.38,60.04,65.07,74.64,76.72,0.65,0.911
Meanteacher_confidenceup,0.8+0.2,8.0,1.0,1,0.0,0.0,33.0,0.99,0.1881,0.00797,86.21,87.31,55.13,62.41,70.67,74.86,0.631,0.814
Meanteacher_cosine_20*2,0.85,10.0,1.0,cosinewarmup,0.0,0.0,0.0,0.99,0.1688,0.00533,79.26,73.89,28.04,29.44,53.65,51.66,0.51,0.831
Meanteacher_no_DA,0.85,10.0,1.0,NoDA,0.0,0.0,0.0,0.99,0.0,0.0,88.12,86.1,63.41,67.24,75.76,76.67,0.534,0.996
Meanteacher_only_CT,0.85,10.0,1.0,OnlyCT,0.0,0.0,0.0,0.99,0.0011,9e-05,88.31,84.53,66.79,69.83,77.55,77.18,0.567,0.998
Meanteacher_rm_CT,0.85,10.0,1.0,RMCT,0.0,0.0,0.0,0.99,0.0024,0.00022,89.56,87.23,67.2,70.47,78.38,78.85,0.645,0.996
Meanteacherrand_0.85_10_0.99,0.85,10.0,1.0,1,0.0,1.0,0.0,0.99,0.0265,0.00157,84.84,63.96,74.59,75.56,79.72,69.76,0.677,0.956
Meanteacherrand_0.85_10_0.999,0.85,10.0,1.0,1,0.0,1.0,0.0,0.9990000000000001,0.0236,0.0014,88.9,80.64,74.18,75.94,81.54,78.29,0.655,0.958
Meanteacherrand_0.85_10_0.999_01,0.85,10.0,1.0,1,0.0,1.0,0.0,0.999,0.025,0.0015,86.79,77.74,72.45,73.14,79.62,75.44,0.664,0.956
Meanteacherrand_0.85_10_0.99_01,0.85,10.0,1.0,1,0.0,1.0,0.0,0.99,0.0236,0.00142,89.14,81.04,70.35,71.48,79.74,76.26,0.669,0.95
Meanteacherrand_0.95_10_0.99,0.95,10.0,1.0,1,0.0,1.0,0.0,0.99,0.0231,0.00128,87.41,71.83,74.44,74.71,80.92,73.27,0.681,0.918
Meanteacherrand_0.95_10_0.999,0.95,10.0,1.0,1,0.0,1.0,0.0,0.9990000000000001,0.0262,0.00158,90.86,89.14,70.58,74.19,80.72,81.66,0.667,0.912
Meanteacherrand_0.95_10_0.999_01,0.95,10.0,1.0,1,0.0,1.0,0.0,0.999,0.0247,0.00131,81.59,62.53,74.96,75.49,78.28,69.01,0.676,0.924
Meanteacherrand_0.95_10_0.999_02,0.95,10.0,1.0,1,0.0,1.0,0.0,0.9990000000000001,0.0233,0.00135,87.82,74.78,73.9,75.3,80.86,75.04,0.678,0.92
Meanteacherrand_0.95_3_0.99,0.95,3.0,1.0,1,0.0,1.0,0.0,0.99,0.0168,0.00219,90.98,85.1,72.78,74.08,81.88,79.59,0.719,0.834
Meanteacherrand_0.95_5_0.99,0.95,5.0,1.0,1,0.0,1.0,0.0,0.99,0.0181,0.00182,90.15,83.55,72.5,72.63,81.32,78.09,0.682,0.873
